timestamp,forecast_horizon,scenario_name,stat_name,value
2023-09-30,9,gas_shock,p75,125.97988418849343
2023-09-30,9,gas_shock,p95,154.7250747163271
2023-09-30,9,gas_shock,mean,104.78734267866612
2023-10-31,10,gas_shock,p5,49.963542150151675
2023-10-31,10,gas_shock,p25,82.75048873766148
2023-10-31,10,gas_shock,p50,104.40499639507038
2023-10-31,10,gas_shock,p75,126.0134359570751
2023-10-31,10,gas_shock,p95,157.08058707547278
2023-10-31,10,gas_shock,mean,103.71525613871847
2023-11-30,11,gas_shock,p5,53.35725577956871
2023-11-30,11,gas_shock,p25,81.74137784544244
2023-11-30,11,gas_shock,p50,104.19255079890084
2023-11-30,11,gas_shock,p75,126.30102011051757
2023-11-30,11,gas_shock,p95,154.88619842980773
2023-11-30,11,gas_shock,mean,104.17044380558926
2023-12-31,12,gas_shock,p5,55.408395757347314
2023-12-31,12,gas_shock,p25,83.97637375708325
2023-12-31,12,gas_shock,p50,104.56891462337234
2023-12-31,12,gas_shock,p75,125.1326422556036
2023-12-31,12,gas_shock,p95,157.37175420283899
2023-12-31,12,gas_shock,mean,105.00146193539963
2023-01-31,1,freight_shock,p5,48.22918340023418
2023-01-31,1,freight_shock,p25,82.12829147401824
2023-01-31,1,freight_shock,p50,103.60954512309851
2023-01-31,1,freight_shock,p75,125.25464711619462
2023-01-31,1,freight_shock,p95,155.16584141172953
2023-01-31,1,freight_shock,mean,103.48028755552339
2023-02-28,2,freight_shock,p5,52.67492830290119
2023-02-28,2,freight_shock,p25,84.46247438123407
2023-02-28,2,freight_shock,p50,103.65595412010222
2023-02-28,2,freight_shock,p75,125.1634584157817
2023-02-28,2,freight_shock,p95,153.03274752960226
2023-02-28,2,freight_shock,mean,104.11259732493112
2023-03-31,3,freight_shock,p5,53.62830812441088
2023-03-31,3,freight_shock,p25,85.32843058680473
2023-03-31,3,freight_shock,p50,103.61278697645946
2023-03-31,3,freight_shock,p75,126.9322486222035
2023-03-31,3,freight_shock,p95,158.7597834317323
2023-03-31,3,freight_shock,mean,105.43509846837193
2023-04-30,4,freight_shock,p5,51.743503091568236
2023-04-30,4,freight_shock,p25,80.20382456806007
